date,id,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_l1,copper_l2,copper_l3,copper_l4,copper_l5,activity_l1,syp
01-10-11,262,24.97450065612793,1722,118.4000015258789,93.19000244140625,34.2400016784668,7900.5,.9835000038146973,6.370999813079834,511.7442016601563,2.732399940490723,7131.5,9197,9731,9301,9224.5,13.00119972229004,125.5
01-11-11,263,12.80230045318604,1746,130.8999938964844,100.3600006103516,31.35000038146973,7405.5,.9889000058174133,6.356400012969971,508.4375915527344,2.705600023269653,7900.5,7131.5,9197,9731,9301,24.97450065612793,124.9899978637695
01-12-11,264,14.75240039825439,1574.5,138.5,98.83000183105469,28.18000030517578,7554,.9879000186920166,6.348199844360352,517.171875,2.696899890899658,7405.5,7900.5,7131.5,9197,9731,12.80230045318604,125.5
01-01-12,265,-44.02280044555664,1744,142.3999938964844,98.48000335693359,33.59999847412109,8485.5,.9602000117301941,6.317200183868408,501.3395080566406,2.693300008773804,7554,7405.5,7900.5,7131.5,9197,14.75240039825439,131.3200073242188
01-02-12,266,-83.22789764404297,1770,143,107.0699996948242,37.22999954223633,8585,.9318000078201294,6.299699783325195,481.4885864257813,2.684200048446655,8485.5,7554,7405.5,7900.5,7131.5,-44.02280044555664,137.0200042724609
01-03-12,267,-63.18180084228516,1662.5,147.6000061035156,103.0199966430664,32.43000030517578,8480,.949999988079071,6.3125,485.3955078125,2.671600103378296,8585,8485.5,7554,7405.5,7900.5,-83.22789764404297,140.8099975585938
01-04-12,268,-45.94699859619141,1651.25,145.3999938964844,104.870002746582,31.20000076293945,8529.5,.9661999940872192,6.304299831390381,486.0010070800781,2.657700061798096,8480,8585,8485.5,7554,7405.5,-63.18180084228516,139.8699951171875
01-05-12,269,-37.96009826660156,1558,134.8000030517578,86.52999877929688,28.10000038146973,7517,1.001999974250793,6.32420015335083,497.0881042480469,2.670000076293945,8529.5,8480,8585,8485.5,7554,-45.94699859619141,131.4700012207031
01-06-12,270,-53.8213005065918,1598.5,134,84.95999908447266,27.07999992370605,7604.5,1.001399993896484,6.36329984664917,505.6281127929688,2.671200037002563,7517,8529.5,8480,8585,8485.5,-37.96009826660156,136.1000061035156
01-07-12,271,-41.73099899291992,1622,117,88.05999755859375,28.20000076293945,7581,.9708999991416931,6.371699810028076,491.9345092773438,2.635799884796143,7604.5,7517,8529.5,8480,8585,-53.8213005065918,137.7100067138672
01-08-12,272,-74.97319793701172,1648.5,89.40000152587891,96.47000122070313,30.52000045776367,7576.5,.9546999931335449,6.359300136566162,480.9941101074219,2.616499900817871,7581,7604.5,7517,8529.5,8480,-41.73099899291992,141.1600036621094
01-09-12,273,-82.6134033203125,1776,104.1999969482422,92.19000244140625,34.65000152587891,8267.5,.9610000252723694,6.320000171661377,474.9718017578125,2.603300094604492,7576.5,7581,7604.5,7517,8529.5,-74.97319793701172,143.9700012207031
01-10-12,274,-52.92570114135742,1719,119.3000030517578,86.23999786376953,32.27999877929688,7819,.9710999727249146,6.262700080871582,475.3627014160156,2.588099956512451,8267.5,7576.5,7581,7604.5,7517,-82.6134033203125,141.3500061035156
01-11-12,275,-45.285400390625,1726,115.5999984741211,88.91000366210938,34.27999877929688,7949,.9610999822616577,6.233799934387207,480.5704956054688,2.599200010299683,7819,8267.5,7576.5,7581,7604.5,-52.92570114135742,142.1499938964844
01-12-12,276,-63.12699890136719,1664,144.8999938964844,91.81999969482422,29.95000076293945,7915,.9556000232696533,6.232800006866455,477.1283874511719,2.567600011825562,7949,7819,8267.5,7576.5,7581,-45.285400390625,142.4100036621094
01-01-13,277,-73.63459777832031,1664.75,152.5,97.48999786376953,32.02999877929688,8170,.9524000287055969,6.221499919891357,472.6686096191406,2.5524001121521,7915,7949,7819,8267.5,7576.5,-63.12699890136719,149.6999969482422
01-02-13,278,-77.39520263671875,1588.5,151.6999969482422,92.05000305175781,28.95000076293945,7828,.9699000120162964,6.2322998046875,472.3445129394531,2.578500032424927,8170,7915,7949,7819,8267.5,-73.63459777832031,151.6100006103516
01-03-13,279,-60.73220062255859,1598.25,137.3000030517578,97.23000335693359,28.63999938964844,7582.5,.96670001745224,6.215400218963623,472.4840087890625,2.594500064849854,7828,8170,7915,7949,7819,-77.39520263671875,156.6699981689453
01-04-13,280,-60.59809875488281,1469,134.1000061035156,93.45999908447266,24.42000007629395,7073.5,.9634000062942505,6.186100006103516,472.1372985839844,2.598000049591064,7582.5,7828,8170,7915,7949,-60.73220062255859,159.6799926757813
